,,,,,,,,,,,,,,,,,,,,,,,South American flat slabs,,,
,Model name,Primary purpose,Model name in publication,Reconstruction,SVN version of reconstruction,Start age,End age,Restart of model,Rayleigh number,Viscosity structure,CitcomS Rheol,Temperature dependent viscosity,Composition dependent viscosity,Phase change,Initial slab depth (km),Slabs vertical from (km),Crust buoyancy,Archean lith. buoyancy,Proterozoic lith. buoyancy,Phanerozoic lith. buoyancy,Basal layer buoyancy,Tracer stencil around subduction zones (km),Ramos and Folguera (2009) scenario,Buoyancy in sub-horizontal part,Comments,Known issues
,gld257,Sea level - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=133.1",
,gld256,Sea level - EX,,2015.2,875,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; Lower thermal boundary layer is 113 km thick in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=121.65,
,gld255,Sea level - EX,,2015.2,875,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=132.11",
,gld254,Western Tethys,,2015.2,875,230,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,,
,gld253,Sea level - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=130.4",
,gld252,Sea level - EX,,2015.1,618,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; Lower thermal boundary layer is 113 km thick in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=130.4,
,gld251,Perm anomaly - EX,,2015.1,618,325,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld250,Perm anomaly - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
